Category,Message
ham,Jus finish bathing...
ham,No screaming means shouting..
spam,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,Just nw i came to hme da..
ham,Dont worry. I guess he's busy.
ham,Oh. U must have taken your REAL Valentine out shopping first.
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
ham,Do you know when dad will be back?
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
ham,DO NOT B LATE LOVE MUM
ham,Am i that much bad to avoid like this?
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
ham,K da:)how many page you want?
ham,How many licks does it take to get to the center of a tootsie pop?
ham,I will once i get home
ham,Dear i am not denying your words please
ham,How long does it take to get it.
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
ham,"Aight, I'm chillin in a friend's room so text me when you're on the way"
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,Just finished. Missing you plenty
ham,* Am on a train back from northampton so i'm afraid not!
ham,Don know. I did't msg him recently.
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!
ham,Send me the new number
ham,Great! So what attracts you to the brothas?
ham,Both :) i shoot big loads so get ready!
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?
ham,Send me yetty's number pls.
ham,In e msg jus now. U said thanks for gift.
ham,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p"
ham,You still around? Looking to pick up later
spam,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p"
ham,I'll be late...
ham,Then i buy.
ham,Yup i thk so until e shop closes lor.
ham,"Theoretically yeah, he could be able to come"
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Whom you waited for yesterday
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
ham,At home also.
ham,Gd luck 4 ur exams :-)
ham,Free any day but i finish at 6 on mon n thurs...
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,I'm in a movie. Call me 4 wat?
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
ham,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
ham,How come she can get it? Should b quite diff to guess rite...
ham,Its sunny in california. The weather's just cool
ham,S.i think he is waste for rr..
ham,Are you wet right now?
ham,So can collect ur laptop?
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
ham,Boo. How's things? I'm back at home and a little bored already :-(
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
ham,K...k...yesterday i was in cbe .
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
ham,Try neva mate!!
ham,Hey come online! Use msn... We are all there
ham,I love working from home :)
ham,Ok cool. See ya then.
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
ham,Okie
ham,Your daily text from me – a favour this time
ham,"I av a new number,  . Wil u only use this one,ta."
ham,Ew are you one of them?
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham,I will lick up every drop :) are you ready to use your mouth as well?
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
ham,Oh sorry please its over
ham,From tomorrow onwards eve 6 to 3 work.
ham,Your brother is a genius
ham,Also remember to get dobby's bowl from your car
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
ham,Havent shopping now lor i juz arrive only
ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?
ham,"Sorry, I'll call later in meeting."
ham,"Haha awesome, be there in a minute"
ham,What about this one then.
ham,"Aight, lemme know what's up"
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
ham,Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,"Sorry, I'll call later"
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm."
ham,I want snow. It's just freezing and windy.
ham,"Awesome, text me when you're restocked"
ham,Can ü send me a copy of da report?
ham,Thanks. Fills me with complete calm and reassurance!
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
ham,Ü called dad oredi...
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,LOL what happens in Vegas stays in vegas
ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
ham,Mm so you asked me not to call radio
ham,2mro i am not coming to gym machan. Goodnight.
ham,Yo guess what I just dropped
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat..."
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
ham,Thinkin about someone is all good. No drugs for that
ham,Yup... From what i remb... I think should be can book...
ham,Well thats nice. Too bad i cant eat it
ham,Cramps stopped. Going back to sleep
ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
ham,i thought we were doing a king of the hill thing there.
ham,I'll be at mu in like  &lt;#&gt;  seconds
ham,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X"
ham,Im on gloucesterroad what are uup to later?
ham,Where @
ham,Are you the cutest girl in the world or what
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
ham,Lol that's different. I don't go trying to find every real life photo you ever took.
ham,"see you then, we're all christmassy here!"
ham,Should i send you naughty pix? :)
ham,"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite"
ham,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
ham,Can you say what happen
ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
ham,You want to go?
ham,The new deus ex game comin early next yr
ham,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900)
ham,If I was I wasn't paying attention
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,And whenever you and i see we can still hook up too.
ham,Nah im goin 2 the wrks with j wot bout u?
ham,You could have seen me..i did't recognise you Face.:)
ham,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt"
ham,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
spam,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book
ham,So why didnt you holla?
ham,Do u hav any frnd by name ashwini in ur college?
ham,R u meeting da ge at nite tmr?
ham,What not under standing.
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
ham,You'd like that wouldn't you? Jerk!
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
ham,At the funeral home with Audrey and dad
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow"
ham,Just got to  &lt;#&gt;
ham,Hey gals...U all wanna meet 4 dinner at nìte?
ham,Ü all write or wat..
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
ham,I dont have that much image in class.
ham,K.k.this month kotees birthday know?
ham,No need to buy lunch for me.. I eat maggi mee..
ham,Anything lar then ü not going home 4 dinner?
ham,Mm i am on the way to railway
ham,Ok lar... Joking wif u oni...
ham,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
ham,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
ham,"Nah I don't think he goes to usf, he lives around here though"
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
ham,5 nights...We nt staying at port step liao...Too ex
ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
ham,Tired. I haven't slept well the past few nights.
ham,Yo theres no class tmrw right?
spam,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
ham,"Almost there, see u in a sec"
ham,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
ham,Normally i use to drink more water daily:)
ham,Thanks for looking out for me. I really appreciate.
ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
ham,Oh great. I.ll disturb him more so that we can talk.
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
ham,aathi..where are you dear..
ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
ham,Ya had just now.onion roast.
ham,Wat u doing there?
ham,No way I'm going back there!
ham,Ok c ü then.
ham,S:-)kallis wont play in first two odi:-)
ham,At 7 we will go ok na.
ham,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later
ham,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,Ü dun wan to watch infernal affair?
ham,Great. P diddy is my neighbor and comes for toothpaste every morning
ham,"Sorry,  in meeting I'll call you later"
ham,"Tick, tick, tick ... Babe"
ham,Lol yes. But it will add some spice to your day.
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
ham,"So check your errors and if you had difficulties, do correction."
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Hi dude hw r u da realy mising u today
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
ham,Convey my regards to him
ham,Was the actual exam harder than NBME
ham,Okey dokey swashbuckling stuff what oh.
ham,"K, can that happen tonight?"
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
ham,Now press conference da:)
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
ham,Ü neva tell me how i noe... I'm not at home in da aft wat...
ham,Thanks  and ! Or bomb and date as my phone wanted to say!
ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
ham,Yeah confirmed for you staying at  that weekend
ham,Sorry about that this is my mates phone and i didnt write it love Kate
ham,Do well :)all will for little time. Thing of good times ahead:
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,I will be gentle princess! We will make sweet gentle love...
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
ham,", ow u dey.i paid 60,400thousad.i told  u would call ."
ham,Yes..gauti and sehwag out of odi series.
ham,Wot about on wed nite I am 3 then but only til 9!
ham,I told that am coming on wednesday.
ham,Y ü wan to go there? C doctor?
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
ham,Will be office around 4 pm. Now i am going hospital.
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
ham,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-)
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
ham,I'm always looking for an excuse to be in the city.
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
ham,"Yes obviously, but you are the eggs-pert and the potato head… Speak soon!"
ham,Thank You meet you monday
ham,K.i will send in  &lt;#&gt;  min:)
ham,Wat ü doing now?
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,U still going to the mall?
ham,How much r ü willing to pay?
ham,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.
ham,I'm meeting Darren...
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham,Mode men or have you left.
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
ham,This is my number by vivek..
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,"It could work, we'll reach a consensus at the next meeting"
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?"
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,"came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
ham,As if i wasn't having enough trouble sleeping.
ham,"Jus chillaxin, what up"
ham,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
spam,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16
ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
ham,He didn't see his shadow. We get an early spring yay
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
ham,So wat's da decision?
ham,Ü still attending da talks?
ham,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...
ham,Well there's still a bit left if you guys want to tonight
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
ham,I'm reaching home in 5 min.
ham,Ding me on ya break fassyole! Blacko from londn
ham,"She was supposed to be but couldn't make it, she's still in town though"
ham,"Hi elaine, is today's meeting confirmed?"
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,"I want to show you the world, princess :) how about europe?"
ham,Its just the effect of irritation. Just ignore it
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!"
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
ham,"That's what I love to hear :V see you sundayish, then"
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
ham,Sos! Any amount i can get pls.
ham,What class of  &lt;#&gt;  reunion?
spam,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
ham,Sorry de i went to shop.
ham,You all ready for * big day tomorrow?
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
ham,K.:)you are the only girl waiting in reception ah?
ham,Cant think of anyone with * spare room off * top of my head
ham,Crucify is c not s. You should have told me earlier.
ham,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
ham,As in different styles?
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
spam,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text"
ham,R we still meeting 4 dinner tonight?
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,"Nothing really, just making sure everybody's up to speed"
ham,Oh really?? Did you make it on air? What's your talent?
ham,HAPPY NEW YEAR MY NO.1 MAN
ham,Dunno dat's wat he told me. Ok lor...
ham,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...
ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.
ham,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
ham,"Great. I'm in church now, will holla when i get out"
ham,Am surfing online store. For offers do you want to buy any thing.
ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
ham,3 pa but not selected.
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
ham,I'm hungry buy smth home...
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
ham,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..
ham,soon you will have the real thing princess! Do i make you wet? :)
ham,Why i come in between you people
ham,No dear i was sleeping :-P
ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free
ham,Wat uniform? In where get?
ham,What time you think you'll have it? Need to know when I should be near campus
ham,dont make ne plans for nxt wknd coz she wants us to come down then ok
ham,Aight ill get on fb in a couple minutes
ham,After completed degree. There is no use in joining finance.
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok
ham,Ugh hopefully the asus ppl dont randomly do a reformat.
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,Well then you have a great weekend!
ham,"alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Thanx a lot...
ham,Then any special there?
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.
ham,Kallis wont bat in 2nd innings.
spam,"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
ham,Aiya we discuss later lar... Pick ü up at 4 is it?
ham,Im done. Just studyn in library
ham,Yup n her fren lor. I'm meeting my fren at 730.
ham,Ok then u tell me wat time u coming later lor.
ham,You do what all you like
ham,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
ham,Give one miss from that number please
ham,"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO"
ham,I am late. I will be there at
ham,LMAO where's your fish memory when I need it?
